datetime,close,CRVL,BARK,OCUL,DHHC,BYLD,ADXS,LRMR,FGD,TWLO,LGLV,SJNK,SKLZ,BOOT,AVGOP,PPH,HQI,IQSI,FANG,RDN,HX,BWBBP,PTMC,MPX,HCHC,RGP,SUSL,ANIX,INFL,ECVT,STE,AMOM,BCX,TROW,DCRC,HYGV,PRK,SHLDQ,RE,TYL,ANTE,SWK,ENVIU,PRTH,INVO,ORCL,WORK,MLN,VIEW,MCN,LGL,EAD,MMAC,KYMR,TITN,SCOA,GRTX,COLL,BLU,RHP,SY,SJ,LVTX,ADGI,PGHY,AKUS,WBA,HTH,MODN,BIGC,TPHS,HBB,NYMTM,HEES,LEGH,ACWV,AQNU,GABC,CLDT,HCKT,ECF,CUEN,OBSV,FTXG,AIRTP,ATRI,AEI,APA,AGRI,RILYT,FPI-B,PEI-D,HTEC,CTMX,BLI,MNSO,DOCU,LW,GS-D,GOOD,THR,AEIS,THTX,CLPR,FAST,FBHS,SHCR,BKYI,QVCD,SMDD,SLMBP,ASA,STNE,HDRO,AAN,CSAN,PFNX,VIOG,CRRTQ,ABOS,JPM-C,PTBD,MFMS,HPI,OTTR,CHH,HOMB,EXPD,DLR-G,AUGZ,PRA,BAB,IHAK,UIHC,XM,RVNU,SEMR,PAM,BRFS,BKI,TAC,PHGE,AEPPZ,EVF,ESEA,TWO-A,PSA-F,AEF
2021-08-31 11:27:00,736.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:26:00,736.17999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:25:00,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:24:00,736.41412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:23:00,736.27002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:22:00,737.3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:21:00,737.26007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:20:00,737.39001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:19:00,737.53003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:18:00,737.71002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
