,0
466,APTX
467,APVO
468,APWC
469,APYX
470,AQB
471,AQMS
472,AQN
473,AQNA
474,AQNB
475,AQNU
476,AQUA
477,AQWA
478,AR
479,ARAV
480,ARAY
481,ARB
482,ARBG
483,ARBGU
484,ARC
485,ARCC
486,ARCE
487,ARCH
488,ARCM
489,ARCO
490,ARCT
491,ARCW
492,ARD
493,ARDS
494,ARDX
495,ARE
496,AREC
497,ARES
498,ARGD
499,ARGO
500,ARGO-A
501,ARGT
502,ARGX
503,ARI
504,ARKF
505,ARKG
506,ARKK
507,ARKQ
508,ARKR
509,ARKW
510,ARKX
511,ARL
512,ARLO
513,ARLP
514,ARMK
515,ARMP
516,ARMR
517,ARNA
518,ARNC
519,AROC
520,AROW
521,ARPO
522,ARQT
523,ARR
524,ARR-C
525,ARRW
526,ARRWU
527,ARRY
528,ARTAU
529,ARTL
530,ARTNA
531,ARTW
532,ARVL
533,ARVN
534,ARW
535,ARWR
536,ARYD
537,ARYE
538,ASA
539,ASAI
540,ASAN
541,ASAQ
542,ASAQ.U
543,ASAX
544,ASAXU
545,ASB
546,ASB-D
547,ASB-E
548,ASB-F
549,ASC
550,ASEA
551,ASET
552,ASG
553,ASGI
554,ASGN
555,ASH
556,ASHR
557,ASHS
558,ASHX
559,ASIX
560,ASLE
561,ASLN
562,ASM
563,ASMB
564,ASML
565,ASND
566,ASO
567,ASPAU
568,ASPC
569,ASPCU
570,ASPN
571,ASPS
572,ASPU
573,ASPY
574,ASR
575,ASRT
576,ASRVP
577,ASTC
578,ASTE
579,ASTR
580,ASTS
581,ASUR
582,ASX
583,ASXC
584,ASYS
585,ASZ
586,ASZ.U
587,ATA
588,ATA.U
589,ATAI
590,ATAQ
591,ATAX
592,ATC
593,ATCO
594,ATCO-D
595,ATCO-H
596,ATCO-I
597,ATCOL
598,ATCX
599,ATEC
600,ATEN
601,ATER
602,ATFV
603,ATGE
604,ATH
605,ATH-A
606,ATH-B
607,ATH-C
608,ATH-D
609,ATHA
610,ATHE
611,ATHM
612,ATHN
613,ATHN.U
614,ATHX
615,ATI
616,ATIF
617,ATIP
618,ATKR
