,0
328,CHF_HUF
329,CHF_IDR
330,CHF_ILS
331,CHF_INR
332,CHF_ISK
333,CHF_JMD
334,CHF_JOD
335,CHF_JPY
336,CHF_KES
337,CHF_KRW
338,CHF_LBP
339,CHF_LKR
340,CHF_MAD
341,CHF_MXN
342,CHF_MYR
343,CHF_NAD
344,CHF_NOK
345,CHF_NPR
346,CHF_NZD
347,CHF_OMR
348,CHF_PAB
349,CHF_PHP
350,CHF_PKR
351,CHF_PLN
352,CHF_QAR
353,CHF_RON
354,CHF_RUB
355,CHF_SAR
356,CHF_SEK
357,CHF_SGD
358,CHF_THB
359,CHF_TRY
360,CHF_TWD
361,CHF_UAH
362,CHF_USD
363,CHF_VEF
364,CHF_XAF
365,CHF_XCD
366,CHF_ZAR
367,CLP_ARS
368,CLP_BOB
369,CLP_BRL
370,CLP_COP
371,CLP_IDR
372,CLP_KRW
373,CLP_MXN
374,CLP_PEN
375,CLP_PYG
376,CLP_USD
377,CLP_UYU
378,CLP_VEF
379,CNY_AED
380,CNY_ARS
381,CNY_AUD
382,CNY_BBD
383,CNY_BHD
384,CNY_BRL
385,CNY_BYN
386,CNY_CAD
387,CNY_CHF
388,CNY_CLP
389,CNY_CNH
390,CNY_CZK
391,CNY_DKK
392,CNY_EGP
393,CNY_EUR
394,CNY_GBP
395,CNY_HKD
396,CNY_HUF
397,CNY_IDR
398,CNY_ILS
399,CNY_INR
400,CNY_ISK
401,CNY_JMD
402,CNY_JOD
403,CNY_JPY
404,CNY_KES
405,CNY_KRW
406,CNY_LBP
407,CNY_LKR
408,CNY_MAD
409,CNY_MNT
410,CNY_MXN
411,CNY_MYR
412,CNY_NAD
413,CNY_NOK
414,CNY_NPR
415,CNY_NZD
416,CNY_OMR
417,CNY_PAB
418,CNY_PHP
419,CNY_PKR
420,CNY_PLN
421,CNY_QAR
422,CNY_RON
423,CNY_RUB
424,CNY_SAR
425,CNY_SEK
426,CNY_SGD
427,CNY_THB
428,CNY_TRY
429,CNY_TWD
430,CNY_UAH
431,CNY_USD
432,CNY_VEF
433,CNY_XAF
434,CNY_XCD
435,CNY_ZAR
436,COP_ARS
437,COP_BOB
438,COP_BRL
439,COP_CLP
440,COP_MXN
441,COP_PEN
442,COP_PYG
443,COP_USD
444,COP_UYU
445,COP_VEF
446,CZK_HUF
447,CZK_ILS
448,CZK_JPY
449,CZK_PLN
450,CZK_RUB
451,CZK_SEK
452,DKK_AED
453,DKK_ARS
454,DKK_AUD
455,DKK_BBD
456,DKK_BGN
457,DKK_BHD
458,DKK_BRL
459,DKK_CAD
460,DKK_CHF
461,DKK_CLP
462,DKK_CNY
463,DKK_COP
464,DKK_CZK
465,DKK_EGP
466,DKK_EUR
467,DKK_GBP
468,DKK_HKD
469,DKK_HUF
470,DKK_IDR
471,DKK_ILS
472,DKK_INR
473,DKK_JMD
474,DKK_JOD
475,DKK_JPY
476,DKK_KES
477,DKK_KRW
478,DKK_LBP
479,DKK_LKR
480,DKK_MAD
481,DKK_MXN
482,DKK_MYR
483,DKK_NAD
484,DKK_NOK
485,DKK_NPR
486,DKK_NZD
487,DKK_OMR
488,DKK_PAB
489,DKK_PHP
490,DKK_PKR
491,DKK_PLN
492,DKK_QAR
493,DKK_RON
494,DKK_RUB
495,DKK_SAR
496,DKK_SEK
497,DKK_SGD
498,DKK_THB
499,DKK_TRY
500,DKK_TWD
501,DKK_UAH
502,DKK_USD
503,DKK_VEF
504,DKK_XAF
505,DKK_XCD
506,DKK_ZAR
507,EGP_AED
508,EGP_EUR
509,EGP_GBP
510,EGP_JPY
511,EGP_PKR
