,CMPI,IVA,CYTK,VLY,ENZL,UPC,MEIP,PSCD,ESGD,ONB,NH,CNFR,UGRO,ACIU,BCOR,ENTA,FCAL,GP,COG,MYT,CLPT,UPST,NESR,BPYPP,AGCUU,HFFG,CCXI,ALGT,CNP,IJT,PLAY,TBCP,MDLZ,MTBC,FPXI,XLNX,CEVA,BAC,PAVM,AMGN,ARRY,FDIV,ABCB,PFX,NYMT,IRM,CELC,class
1469,0.0,0.0,0.0009549578952685,0.0,0.0001584660489806,0.0101739421769641,0.0,-0.0034641579148591,-0.0001232058154707,-0.0003001650930536,-0.0048899852941917,0.0070175726586465,0.0050548138950916,0.0006898930939376,-0.0025173078113778,-5.595814332348681e-05,-0.0022079125804741,-0.0074563006764547,-0.0010191949243041,0.0,0.0,-0.0052500864833779,0.0008830022648784,-0.0004874482182795,0.0,0.004796172263493,0.0,0.0007698150578976,-0.0018860812833683,-0.0004512238858449,-0.0008788633933205,0.0,0.0,-0.0022598879674378,0.0032244431601444,0.0007029591663982,-0.0011933175640423,0.0006185439672683,-0.0033277900926746,0.0015412293942196,-0.0011967835824222,0.0008264463280314,-9.75371861295926e-05,0.0,0.0,-0.0003326495567628,-0.0104332994492861,0
1470,0.0,-0.00069856796414,-0.0012734799556137,0.0003807348227979,-0.0009511731852196,-0.0204939512089535,0.0,-0.0037556683313209,0.000121973832452,0.0,0.0048899852941917,-0.0392207131532813,-0.0035382535396482,-0.0097020858064504,0.0006299212806721,-0.0001119256814643,-0.0018768753516171,0.0023001735270837,-0.0027229424584556,0.004866189651173,-0.0048609331469058,-0.0020380788493348,0.0,0.0002963968307239,0.0,0.0,0.0017540786816336,-0.000359149333021,-0.0001888039276827,7.07026569610747e-05,0.0014643435037222,0.0,-0.0001578407390221,0.001130582370286,-0.0009112997337226,0.0009129473221474,-0.0001990247792416,-0.0001236781895088,-0.0025031302181184,0.0013174896153351,0.0029701965020154,-0.0009938849006885,0.0009749440179485,0.0,0.0,0.0005543544684347,0.0004558924172872,0
1471,0.0,-0.0013986016265836,0.0015915967071435,0.0007610350443414,0.0006342159717895,-0.0023679466021668,0.0,-0.0020163534658017,1.2319830187124126e-06,-0.0006006006186547,0.0022413886497095,0.0047161342627994,-0.0051502259763158,0.0076309770233142,0.0,0.0006713662554957,0.0195861469295279,-0.0025132071555358,0.0006814310314791,0.0,0.0,0.0026834483457589,0.0061592803605345,-0.000588979853243,0.0,-0.004796172263493,0.0010509722459746,0.0001538856291078,0.000377572215171,-0.0005266988433252,0.0002926115602441,0.0,0.0006312135289263,0.0011293055971517,0.0018410378503368,0.0001403902852228,-0.0011949812216669,0.0006182380413304,-0.0012037317132078,-0.0002839219752264,0.0063854574686939,-0.0039750694224989,-0.0001949127771494,0.0062613485166345,0.0,0.000664819969085,0.0126813293643999,0
1472,0.0,-0.0049105675666814,0.0012714559881965,0.0007604563104113,-0.0019022678255229,-0.0017900635464969,0.0,0.0029750542577469,-9.609923362141616e-05,0.0003003453994643,-0.0071313739439012,0.0345045788904818,-0.0021537807162701,-0.0020754071787123,0.0,0.0007826913800359,-0.0156851656333736,0.0059535775214034,0.0,0.0048426244757878,0.0,-0.0021860104094644,-0.0061592803605345,-0.0008314028742706,0.0,-0.0019249284095843,0.0005670660783922,0.0005642328155754,0.0,0.0002991995862453,-0.0002926115602441,0.0,-0.0011048852832633,0.0,-0.0006924022110279,0.0002806512854638,-0.0005980265303318,0.0011118661964522,-0.0029821262194702,0.0002856797549402,0.0070175726586465,0.0029015564398342,-0.0005849663811146,0.0019691506198808,0.0,0.0011070520337983,-0.0045106075573499,0
1473,0.0,0.0042105325363435,-0.0006355259190709,-0.0003801558684823,0.0011094349924283,0.0106926295387433,0.0,0.0034738437814807,-0.0003351875479626,0.0009004953332505,0.0087848295557326,0.0034904049397685,0.0030139958230779,-0.0069492982932057,0.0006295247296348,0.0010054181710494,-0.0008220289497082,0.0011441648845451,-0.000129436169415,-0.0034358474604523,-0.0014357893211132,-0.0001984679178645,0.0017636688874964,-0.0015123481986138,0.0,-0.0010410040845258,-0.0012675915010853,0.0009738859582659,0.0005660911557909,-7.688498580815661e-05,0.0008775779413592,0.0,0.0009944516734714,-0.0033917500011209,-0.0021231903330969,0.0005612767794236,0.0,-0.0001234796568834,0.0016764463272522,-0.0009672456238822,0.0005377789858029,-0.0012424934296739,0.0005849663811146,0.0,0.0,0.0002212634149976,-0.0047581374464167,0
1474,0.0,-0.000700525422693,-0.000317914483682,-0.0007607455673088,-1.7449390818491395e-05,-0.0105676373505922,0.0,-0.0128197061997186,-6.162758452710193e-05,0.0,-0.0002429838427698,0.0,0.0043585016746439,0.0,0.0012578618010707,0.0004465282503307,0.0008220289497082,-0.0058432248277946,0.001402467482948,-0.0160769667631294,-0.0001897867615872,0.0043675727299117,0.0070237338793077,0.001953507165493,0.0,0.0010410040845258,-0.0007010165025951,0.000921706245804,-0.0015102891298184,7.612377729859787e-05,-0.0008775779413592,0.0,-0.0001167573641298,0.002228545524324,0.0,0.0006309111097522,-0.0007859518500423,0.0012341109797842,-0.0016764463272522,0.0004837397574481,0.0040241502997253,0.0016314906081422,0.0003897875707119,0.0,0.0,0.0002212144683282,-0.0006815858494011,0
1475,0.0,0.000700525422693,0.0012710519664835,-0.0007613247417594,0.0001760662521235,0.0122975278104061,0.0018850146957712,0.0009505093647179,-0.0001244993064775,0.0008996851708973,0.0108762401441387,0.0,0.0024967094044088,-0.0034928432296983,-0.0018873865307056,0.0011154490838656,-0.0008220289497082,0.0046990599432494,0.0027583413100011,0.0098040000966208,-0.002171553513508,-0.0031251855464144,0.002621233479874,-0.0007809449830715,0.0,-0.0009638554963067,-0.0007015082714905,0.0009208574856485,-0.0005669470056424,4.643265876147496e-05,-0.0002926972068313,0.0,-0.0005618882116591,0.0022799621605846,0.0043010818993902,0.0009107850610616,-0.0004111751883768,0.0008629723768009,0.0053881424177486,0.0002198043749919,-0.0040241502997253,0.0005418608294824,0.0,0.0,0.0003715918106768,0.0,0.0,0
1476,0.0,0.0,-0.0009531374828015,-0.0003808798370177,-0.0014570482911571,0.0,0.0018814680997056,-0.0007277864910149,-0.000122049018242,-0.0008996851708973,0.0,0.0,0.0,0.0034928432296983,0.0012586534071963,-0.0011154490838656,-0.0002870417242211,-0.0005725737345092,0.0027575197101517,-0.0147422817372033,0.0,-0.0060049764959293,-0.0008729812863448,0.0009253529788417,0.0,-0.0028971531611527,-1.4035186211902584e-05,0.0002045710150149,0.0015979664276417,0.0006003855888438,0.0,0.0,0.0004735222249321,-0.0039424165291177,0.0003092610387556,0.0005600280160367,0.0010036885896309,-0.0003697541177269,0.0014674985123688,-0.0026408906774886,-0.0021528533611014,0.001549507050381,0.0006817628703315,0.0003048715547313,-0.0003715918106768,0.0,0.0,0
1477,0.0,0.0,0.0012706482014555,-0.0003810249617441,0.0006637122717609,0.0,-0.0037664827954769,-0.0013448010560068,0.0001232817606195,0.0006718414706896,-0.0392207131532813,-0.0006622401385263,-0.005136997597916,0.0,0.001257071190051,0.0013383896711225,-0.001375631289989,0.0,0.0015211699037385,0.0293184580675318,-0.001087547687399,-0.0017259281145687,-0.0026235257723845,-0.0020979151612632,0.0,0.0,-0.0006879655446176,0.0004088121095584,-0.0010310194219993,0.0007224197572792,0.0,0.0,-0.0012632245482118,-0.0039693842874988,-0.0001612773166943,0.0004198152874419,-0.0010036885896309,0.0004929751147408,0.0006663335245709,-0.0023826954391932,0.0016150743752985,0.0004540670033228,0.0002920418614089,0.0062278420907588,0.0,-0.0002212144683282,-0.0013645669617972,0
